id,category,product_name,brand,specs,price,image_array
58,laptop,IP 3-05ID,Lenovo,"R5 7530/8GB/512/W11+OHS21/14""FHD IPS/BL/ARCTIC GREY",7945,
59,laptop,IP 3-7BID,Lenovo,"R5 7530/8GB/512/W11+OHS21/14""FHD IPS/BL/ARCTIC GREY",7945,
60,laptop,IP 3-7CID,Lenovo,"R5 7530/8GB/512/W11+OHS21/14""FHD IPS/BL/ABYSS BLUE",7945,
61,laptop,IP 5-0AID 2 IN 1 R5,Lenovo,"R5 8645HS/16GB/512/W11+OHS21/14""WUXGA IPS/TOUCH/FLIP/PEN/BL/COSMIC BLUE",11195,
62,laptop,IP 5-0BID 2 IN 1 R5,Lenovo,"R5 8645HS/16GB/512/W11+OHS21/14""WUXGA IPS/TOUCH/FLIP/PEN/BL/LUNA GREY",11195,
63,laptop,IP 5-9UID,Lenovo,"R7 7730/16GB/512/W11+OHS21/14""WUXGA OLED/BL/CLOUD GREY",11245,
64,laptop,IP 5-9VID,Lenovo,"R7 7730/16GB/512/W11+OHS21/14""WUXGA OLED/BL/ABYSS BLUE",11245,
65,laptop,IP 5-0LID 13 INCH,Lenovo,"R7 7735HS/16GB/512/W11+OHS21/13.3""WUXGA IPS/100%sRGB/BL/CLOUD GREY",11345,
66,laptop,IP 5-0CID 2 IN 1 R7,Lenovo,"R7 8845HS/16GB/512/W11+OHS21/14""WUXGA IPS/TOUCH/FLIP/PEN/BL/LUNA GREY",12295,
67,laptop,IP 5-0DID 2 IN 1 R7,Lenovo,"R7 8845HS/16GB/512/W11+OHS21/14""WUXGA IPS/TOUCH/FLIP/PEN/BL/COSMIC BLUE",12295,
68,laptop,IP 5-1KID 2 IN 1,Lenovo,"Snapdragon X Plus X1P-42-100/16GB/512/W11+OHS21/14""WUXGA OLED/TOUCH/FLIP/PEN/BL/LUNA GREY",13745,
69,laptop,THINKBOOK 14S YOGA-8SID,Lenovo,"I5 1135G7/8GB/512/W11+OHS21/14""FHD IPS/100%sRGB/TOUCH/FLIP/PEN/BL/ABYSS BLUE",11000,
70,laptop,YOGA SLIM 7X-10ID,Lenovo,"Snapdragon X Elite X1E-78-100 12C/32GB/SSD 1TB/W11+OHS21/14.5"" 3K OLED/100%sRGB/TOUCH/BL/COSMIC BLUE",23500,
71,laptop,YOGA 7-0WID,Lenovo,"Intel Core Ultra 5 125H/16GB/512/W11+OHS21/14""WUXGA OLED/TOUCH/FLIP/PEN/BL/SLEEVECASE INBOX/TIDAL TEAL",15995,
72,laptop,YOGA 7-0XID,Lenovo,"Intel Core Ultra 7 155H/16GB/SSD 1TB/W11+OHS21/14"" 2.8K OLED/TOUCH/FLIP/PEN/BL/SLEEVECASE INBOX/TIDAL TEAL",19595,
73,laptop,YOGA 7-81ID,Lenovo,"Intel Core Ultra 7 155H/32GB/SSD 1TB/W11+OHS21/14"" 2.8K OLED/TOUCH/FLIP/PEN/BL/SLEEVECASE INBOX/TIDAL TEAL",20995,
74,laptop,YOGA SLIM 7-04ID,Lenovo,"Intel Core Ultra 7 155H/16GB/SSD 1TB/W11+OHS21/14""WUXGA OLED/TOUCH/BL/LUNA GREY",16795,
75,laptop,YOGA PRO 7-14ID VGA,Lenovo,"Intel Core Ultra 7 155H/32GB/SSD 1TB/RTX4050 6GB/W11+OHS21/14.5"" 2.8K OLED/BL/LUNA GREY",23295,
76,laptop,YOGA PRO 7-15ID VGA,Lenovo,"Intel Core Ultra 9 185H/32GB/SSD 1TB/RTX4060 8GB/W11+OHS21/14.5"" 3K IPS/100%sRGB/TOUCH/BL/LUNA GREY",27995,
77,laptop,YOGA BOOK 9-0GID,Lenovo,"Intel Core Ultra 7 155U/32GB/SSD 1TB/W11+OHS21/2x 13.3"" 2.8K OLED/TOUCH/PEN/TIDAL TEAL",30795,
78,laptop,YOGA 7-0UID,Lenovo,"R5 8640HS/16GB/512/W11+OHS21/14""WUXGA OLED/TOUCH/FLIP/PEN/BL/SLEEVECASE INBOX/ARCTIC GREY",14195,
79,laptop,YOGA 7-0TID,Lenovo,"R7 8840HS/16GB/SSD 1TB/W11+OHS21/14""WUXGA OLED/TOUCH/FLIP/PEN/BL/SLEEVECASE INBOX/ARCTIC GREY",16295,
80,laptop,YOGA PRO 7-06ID VGA,Lenovo,"R7 8845HS/16GB/SSD 1TB/RTX 3050 6GB/W11+OHS21/14.5"" 2.5K IPS/100%sRGB/TOUCH/BL/LUNA GREY",18395,
81,laptop,GAMING LOQ 15-1HID,Lenovo,"I5 12450HX/12GB/512/RTX2050 4GB/W11+OHS21/15.6""FHD/100%sRGB/BL/LUNA GREY",10545,
82,laptop,GAMING LOQ 15-2QID,Lenovo,"I5 12450HX/12GB/512/RTX2050 4GB/W11+OHS21/15.6""FHD IPS/100%sRGB/WHITE BL/BAREBONE ESSENTIAL/LUNA GREY",10095,
83,laptop,GAMING LOQ 15-1JID,Lenovo,"I5 12450HX/12GB/512/RTX3050 6GB/W11+OHS21/15.6""FHD/100%sRGB/BL/LUNA GREY",11745,
84,laptop,GAMING LOQ 15-A8ID,Lenovo,"I5 13450HX/12GB/512/RTX3050 6GB/W11+OHS21/15.6""FHD IPS/100%sRGB/BL 4-ZONE RGB/LUNA GREY",12645,
85,laptop,GAMING LOQ 15-AAID,Lenovo,"I5 13450HX/12GB/512/RTX4050 6GB/W11+OHS21/15.6""FHD IPS/100%sRGB/BL 4-ZONE RGB/LUNA GREY",14295,
86,laptop,GAMING LOQ 15-A9ID,Lenovo,"I7 13650HX/12GB/512/RTX3050 6GB/W11+OHS21/15.6""FHD/100%sRGB/BL 4-ZONE RGB/LUNA GREY",14395,
87,laptop,GAMING LOQ 15-AHID,Lenovo,"I7 13650HX/12GB/512/RTX4050 6GB/W11+OHS21/15.6""FHD/100%sRGB/BL 4-ZONE RGB/LUNA GREY",16245,
88,laptop,GAMING LOQ 15-AGID,Lenovo,"I7 13650HX/12GB/512/RTX4060 8GB/W11+OHS21/15.6""FHD/100%sRGB/BL 4-ZONE RGB/LUNA GREY",18745,
89,laptop,GAMING LOQ 15-37ID,Lenovo,"R5 8645HS/8GB/512/RTX4050 6GB/W11+OHS21/15.6""FHD IPS/100%sRGB/BL 4-ZONE RGB/LUNA GREY",14395,
90,laptop,GAMING LOQ 15-1YID,Lenovo,"R7 7435HS/12GB/512/RTX4060 8GB/W11+OHS21/15.6""FHD IPS/100%sRGB/BL/LUNA GREY",15545,
91,laptop,GAMING LOQ 15-38ID,Lenovo,"R7 8845HS/8GB/512/RTX4050 6GB/W11+OHS21/15.6""FHD IPS/100%sRGB/4-ZONE RGB BL/LUNA GREY",15945,
